"Variable"	"File"	"Windows"	"Model"	"Mean"	"SD"	"SE"	"t.mean.diff"	"t.p.two.tailed"	"t.p.background.higher"	"t.p.background.lower"	"w.mean.diff"	"w.p.two.tailed"	"w.p.background.higher"	"w.p.background.lower"
"P1P2_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"D_Background"	0.0137689655172414	0.00596150174505722	0.000155014237511215	"0.00258757016840417"	"3.69095591814516e-07"	"1.84547795907258e-07"	"0.999999815452204"	"0.00282255969989629"	"5.81468958051883e-09"	"2.90734479025942e-09"	"0.999999997095594"
"P1P2_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"D_Outlier"	0.0111813953488372	0.00613449667891376	0.00046775098662223	"0.00258757016840417"	"3.69095591814516e-07"	"1.84547795907258e-07"	"0.999999815452204"	"0.00282255969989629"	"5.81468958051883e-09"	"2.90734479025942e-09"	"0.999999997095594"
"P1P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"D_Background"	0.024546581769437	0.00697725886185745	0.00018063438482789	"0.00103221395334504"	"0.0740615519873573"	"0.0370307759936787"	"0.962969224006321"	"0.00133139343131202"	"0.0201585004883494"	"0.0100792502441747"	"0.989925217714328"
"P1P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"D_Outlier"	0.023514367816092	0.00720113754680297	0.000545916828577392	"0.00103221395334504"	"0.0740615519873573"	"0.0370307759936787"	"0.962969224006321"	"0.00133139343131202"	"0.0201585004883494"	"0.0100792502441747"	"0.989925217714328"
"P2P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"D_Background"	0.0246066438356164	0.00694712358338274	0.000181814533836659	"0.00122569145466406"	"0.0497807108806668"	"0.0248903554403334"	"0.975109644559667"	"0.00160198698686451"	"0.00815583248950282"	"0.00407791624475141"	"0.99592417216852"
"P2P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"D_Outlier"	0.0233809523809524	0.00769598193927811	0.000593757897239185	"0.00122569145466406"	"0.0497807108806668"	"0.0248903554403334"	"0.975109644559667"	"0.00160198698686451"	"0.00815583248950282"	"0.00407791624475141"	"0.99592417216852"
"P1P2_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"mfD0_Background"	0.0133236877523553	0.0060584796678931	0.000157164425746536	"-0.00175813042946287"	"0.000167917826691699"	"0.999916041086654"	"8.39589133458495e-05"	"-0.00172476451649369"	"0.0001179564147907"	"0.999941063229136"	"5.89782073953498e-05"
"P1P2_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"mfD0_Outlier"	0.0150818181818182	0.00553695206205294	0.000431051133418118	"-0.00175813042946287"	"0.000167917826691699"	"0.999916041086654"	"8.39589133458495e-05"	"-0.00172476451649369"	"0.0001179564147907"	"0.999941063229136"	"5.89782073953498e-05"
"P1P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"mfD0_Background"	0.0244657543391188	0.006953724952366	0.000179664222331046	"0.000267540053404541"	"0.658209184446584"	"0.329104592223292"	"0.670895407776708"	"0.000299552031252566"	"0.63551170327789"	"0.317755851638945"	"0.682304449546801"
"P1P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"mfD0_Outlier"	0.0241982142857143	0.00747253232225195	0.000576518385011743	"0.000267540053404541"	"0.658209184446584"	"0.329104592223292"	"0.670895407776708"	"0.000299552031252566"	"0.63551170327789"	"0.317755851638945"	"0.682304449546801"
"P2P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"mfD0_Background"	0.0245621418826739	0.00689863264259917	0.00018017562361819	"0.000823870277735672"	"0.21742811308226"	"0.10871405654113"	"0.89128594345887"	"0.000800114549808967"	"0.188004460883645"	"0.0940022304418225"	"0.906027303029715"
"P2P3_dxy"	"Heliconius_Zchromosome_windows.csv"	1834	"mfD0_Outlier"	0.0237382716049383	0.00815701607696159	0.000640875709140803	"0.000823870277735672"	"0.21742811308226"	"0.10871405654113"	"0.89128594345887"	"0.000800114549808967"	"0.188004460883645"	"0.0940022304418225"	"0.906027303029715"
