"Variable"	"File"	"Windows"	"Model"	"Mean"	"SD"	"SE"	"t.mean.diff"	"t.p.two.tailed"	"t.p.background.higher"	"t.p.background.lower"	"w.mean.diff"	"w.p.two.tailed"	"w.p.background.higher"	"w.p.background.lower"
"P1P2_dxy"	"Heliconius_autosome_windows.csv"	57141	"D_Background"	0.0193663655480216	0.00854013300896145	3.95597044110291e-05	"0.0055497232122552"	"0"	"0"	"1"	"0.00612828823622968"	"0"	"0"	"1"
"P1P2_dxy"	"Heliconius_autosome_windows.csv"	57141	"D_Outlier"	0.0138166423357664	0.00885309772539865	0.000119592784837977	"0.0055497232122552"	"0"	"0"	"1"	"0.00612828823622968"	"0"	"0"	"1"
"P1P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"D_Background"	0.0248030622522233	0.00883562092683837	4.09017076343475e-05	"0.000139835508037249"	"0.355263068844225"	"0.177631534422113"	"0.822368465577887"	"0.000461593622968991"	"0.00119491992032714"	"0.00059745996016357"	"0.999402542022759"
"P1P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"D_Outlier"	0.024663226744186	0.010803453768066	0.000145620797498212	"0.000139835508037249"	"0.355263068844225"	"0.177631534422113"	"0.822368465577887"	"0.000461593622968991"	"0.00119491992032714"	"0.00059745996016357"	"0.999402542022759"
"P2P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"D_Background"	0.0253125698862541	0.00900459253793015	4.16758711699837e-05	"0.00256373267695177"	"5.93040891171237e-64"	"2.96520445585619e-64"	"1"	"0.00303826752707946"	"1.25691825175056e-93"	"6.2845912587528e-94"	"1"
"P2P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"D_Outlier"	0.0227488372093023	0.0107031057781311	0.000144268197243203	"0.00256373267695177"	"5.93040891171237e-64"	"2.96520445585619e-64"	"1"	"0.00303826752707946"	"1.25691825175056e-93"	"6.2845912587528e-94"	"1"
"P1P2_dxy"	"Heliconius_autosome_windows.csv"	57141	"mfD0_Background"	0.018728546612623	0.00874059750654762	4.04774431150705e-05	"-0.00051469811698282"	"3.85065320670186e-05"	"0.999980746733967"	"1.92532660335093e-05"	"-0.000456169745627277"	"0.000295150079538567"	"0.99985242550297"	"0.000147575039769284"
"P1P2_dxy"	"Heliconius_autosome_windows.csv"	57141	"mfD0_Outlier"	0.0192432447296059	0.00873149495435535	0.000118220074831279	"-0.00051469811698282"	"3.85065320670186e-05"	"0.999980746733967"	"1.92532660335093e-05"	"-0.000456169745627277"	"0.000295150079538567"	"0.99985242550297"	"0.000147575039769284"
"P1P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"mfD0_Background"	0.0249390243902439	0.00901456127141429	4.17148613609951e-05	"0.00143741561510679"	"7.58352335220675e-27"	"3.79176167610338e-27"	"1"	"0.00151999064009981"	"7.73666673828813e-30"	"3.86833336914406e-30"	"1"
"P1P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"mfD0_Outlier"	0.0235016087751371	0.00937278446636391	0.00012672869627436	"0.00143741561510679"	"7.58352335220675e-27"	"3.79176167610338e-27"	"1"	"0.00151999064009981"	"7.73666673828813e-30"	"3.86833336914406e-30"	"1"
"P2P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"mfD0_Background"	0.0254774702457402	0.00913611129197824	4.22696407166743e-05	"0.00415215494689174"	"3.07674185114322e-204"	"1.53837092557161e-204"	"1"	"0.0042650568499776"	"3.39499249878201e-217"	"1.697496249391e-217"	"1"
"P2P3_dxy"	"Heliconius_autosome_windows.csv"	57141	"mfD0_Outlier"	0.0213253152988485	0.00921211371464826	0.000124544895586138	"0.00415215494689174"	"3.07674185114322e-204"	"1.53837092557161e-204"	"1"	"0.0042650568499776"	"3.39499249878201e-217"	"1.697496249391e-217"	"1"
