"Variable"	"File"	"Windows"	"Model"	"Mean"	"SD"	"SE"	"t.mean.diff"	"t.p.two.tailed"	"t.p.background.higher"	"t.p.background.lower"	"w.mean.diff"	"w.p.two.tailed"	"w.p.background.higher"	"w.p.background.lower"
"P1P2_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"D_Background"	0.0192495974773656	0.00839763146270476	4.1044220485294e-05	"0.00568921100393562"	"0"	"0"	"1"	"0.00631585944911679"	"0"	"0"	"1"
"P1P2_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"D_Outlier"	0.01356038647343	0.00866382787457716	0.000122919000993392	"0.00568921100393562"	"0"	"0"	"1"	"0.00631585944911679"	"0"	"0"	"1"
"P1P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"D_Background"	0.024747896371092	0.0086815100260109	4.22664385984678e-05	"0.000318324772519998"	"0.0381826845499935"	"0.0190913422749968"	"0.980908657725003"	"0.000597882331424735"	"7.72911945380861e-05"	"3.8645597269043e-05"	"0.999961354579294"
"P1P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"D_Outlier"	0.024429571598572	0.0104805571954022	0.000147598842513766	"0.000318324772519998"	"0.0381826845499935"	"0.0190913422749968"	"0.980908657725003"	"0.000597882331424735"	"7.72911945380861e-05"	"3.8645597269043e-05"	"0.999961354579294"
"P2P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"D_Background"	0.0252446161857647	0.00884992398265009	4.30567854465958e-05	"0.00265114008027191"	"3.71285806247748e-65"	"1.85642903123874e-65"	"1"	"0.0030284461542"	"1.05179002614027e-90"	"5.25895013070134e-91"	"1"
"P2P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"D_Outlier"	0.0225934761054928	0.0104717285792509	0.000147459885710029	"0.00265114008027191"	"3.71285806247748e-65"	"1.85642903123874e-65"	"1"	"0.0030284461542"	"1.05179002614027e-90"	"5.25895013070134e-91"	"1"
"P1P2_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"mfD0_Background"	0.018601891112012	0.00860465697319302	4.20199561337123e-05	"-0.000422271469687326"	"0.00117423692129174"	"0.999412881539354"	"0.000587118460645871"	"-0.000383512077992681"	"0.00461744459784737"	"0.997691285769014"	"0.00230872229892368"
"P1P2_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"mfD0_Outlier"	0.0190241625816993	0.00861285676462365	0.00012309106243067	"-0.000422271469687326"	"0.00117423692129174"	"0.999412881539354"	"0.000587118460645871"	"-0.000383512077992681"	"0.00461744459784737"	"0.997691285769014"	"0.00230872229892368"
"P1P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"mfD0_Background"	0.0248707163120567	0.00884594149969346	4.3010439388122e-05	"0.00150190673996183"	"1.47597047262012e-27"	"7.3798523631006e-28"	"1"	"0.00150080267838552"	"6.72452062585293e-29"	"3.36226031292646e-29"	"1"
"P1P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"mfD0_Outlier"	0.0233688095720949	0.00916309516287661	0.000130489238186468	"0.00150190673996183"	"1.47597047262012e-27"	"7.3798523631006e-28"	"1"	"0.00150080267838552"	"6.72452062585293e-29"	"3.36226031292646e-29"	"1"
"P2P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"mfD0_Background"	0.0254006374389121	0.00898451044646976	4.36547817685706e-05	"0.00420594860858573"	"2.31497914547334e-198"	"1.15748957273667e-198"	"1"	"0.00429724208735028"	"2.88805237784107e-203"	"1.44402618892053e-203"	"1"
"P2P3_dxy"	"set31.Zupdated.autoscafs.union.SPiDxyDf.w5m2.5s5.csv"	54938	"mfD0_Outlier"	0.0211946888303264	0.00896185732019911	0.00012759758878607	"0.00420594860858573"	"2.31497914547334e-198"	"1.15748957273667e-198"	"1"	"0.00429724208735028"	"2.88805237784107e-203"	"1.44402618892053e-203"	"1"
