ModelType,Background_t123,Background_t21,Alternate_t123,Alternate_t23,AltProp
Null model,0.4,0.2,NA,NA,0
Null model,0.6,0.2,NA,NA,0
Null model,0.8,0.2,NA,NA,0
Null model,1.0,0.2,NA,NA,0
Null model,1.2,0.2,NA,NA,0
Null model,1.4,0.2,NA,NA,0
Null model,1.6,0.2,NA,NA,0
Null model,1.8,0.2,NA,NA,0
Null model,2.0,0.2,NA,NA,0
Null model,0.6,0.4,NA,NA,0
Null model,0.8,0.4,NA,NA,0
Null model,1.0,0.4,NA,NA,0
Null model,1.2,0.4,NA,NA,0
Null model,1.4,0.4,NA,NA,0
Null model,1.6,0.4,NA,NA,0
Null model,1.8,0.4,NA,NA,0
Null model,2.0,0.4,NA,NA,0
Null model,0.8,0.6,NA,NA,0
Null model,1.0,0.6,NA,NA,0
Null model,1.2,0.6,NA,NA,0
Null model,1.4,0.6,NA,NA,0
Null model,1.6,0.6,NA,NA,0
Null model,1.8,0.6,NA,NA,0
Null model,2.0,0.6,NA,NA,0
Null model,1.0,0.8,NA,NA,0
Null model,1.2,0.8,NA,NA,0
Null model,1.4,0.8,NA,NA,0
Null model,1.6,0.8,NA,NA,0
Null model,1.8,0.8,NA,NA,0
Null model,2.0,0.8,NA,NA,0
Null model,1.2,1.0,NA,NA,0
Null model,1.4,1.0,NA,NA,0
Null model,1.6,1.0,NA,NA,0
Null model,1.8,1.0,NA,NA,0
Null model,2.0,1.0,NA,NA,0
Null model,1.4,1.2,NA,NA,0
Null model,1.6,1.2,NA,NA,0
Null model,1.8,1.2,NA,NA,0
Null model,2.0,1.2,NA,NA,0
Null model,1.6,1.4,NA,NA,0
Null model,1.8,1.4,NA,NA,0
Null model,2.0,1.4,NA,NA,0
Null model,1.8,1.6,NA,NA,0
Null model,2.0,1.6,NA,NA,0
Null model,2.0,1.8,NA,NA,0
gene flow P2-P3,0.6,0.4,0.4,0.2,0.1
gene flow P2-P3,0.8,0.4,0.4,0.2,0.1
gene flow P2-P3,1.0,0.4,0.4,0.2,0.1
gene flow P2-P3,1.2,0.4,0.4,0.2,0.1
gene flow P2-P3,1.4,0.4,0.4,0.2,0.1
gene flow P2-P3,1.6,0.4,0.4,0.2,0.1
gene flow P2-P3,1.8,0.4,0.4,0.2,0.1
gene flow P2-P3,2.0,0.4,0.4,0.2,0.1
gene flow P2-P3,0.8,0.6,0.6,0.2,0.1
gene flow P2-P3,0.8,0.6,0.6,0.4,0.1
gene flow P2-P3,1.0,0.6,0.6,0.2,0.1
gene flow P2-P3,1.0,0.6,0.6,0.4,0.1
