4Nr	t23	t12	tGF	tSTR	ModelType	Stat	P2P3_dxy.Outlier.Mean	P2P3_dxy.Outlier.SD	P2P3_dxy.Background.Mean	P2P3_dxy.Background.SD	P2P3_dxy.Significant	Outlier.Alternate.PC
0.01	0.4	0.2	NA	0.6	Ancestral structure	D	0.0166483	0.0022601	0.0178534	0.0024834	TRUE	52.8
0.01	0.4	0.2	NA	0.6	Ancestral structure	fd	0.016601	0.0022005	0.0178586	0.0024867	TRUE	58.9
0.01	0.4	0.2	NA	0.6	Ancestral structure	fG	0.0166232	0.002204	0.0178561	0.0024876	TRUE	61
0.01	0.4	0.2	NA	0.6	Ancestral structure	fhom	0.0166409	0.0022029	0.0178542	0.0024887	TRUE	63.4
0.01	0.4	0.2	NA	0.6	Ancestral structure	Simulation	0.0177807	0.0024959	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	0.8	Ancestral structure	D	0.0170789	0.0022843	0.0178033	0.0024977	TRUE	80.2
0.01	0.4	0.2	NA	0.8	Ancestral structure	fd	0.0170835	0.0023489	0.0178028	0.0024912	TRUE	82.9
0.01	0.4	0.2	NA	0.8	Ancestral structure	fG	0.0170618	0.0022955	0.0178052	0.002496	TRUE	82.7
0.01	0.4	0.2	NA	0.8	Ancestral structure	fhom	0.0171583	0.0023323	0.0177945	0.0024951	TRUE	85.6
0.01	0.4	0.2	NA	0.8	Ancestral structure	Simulation	0.0177608	0.0024794	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	1	Ancestral structure	D	0.01734	0.0023317	0.0177643	0.002509	TRUE	92.4
0.01	0.4	0.2	NA	1	Ancestral structure	fd	0.0172942	0.0023351	0.0177694	0.0025077	TRUE	93.5
0.01	0.4	0.2	NA	1	Ancestral structure	fG	0.017252	0.0023034	0.0177741	0.00251	TRUE	92.3
0.01	0.4	0.2	NA	1	Ancestral structure	fhom	0.0173262	0.0023505	0.0177659	0.0025067	TRUE	94.7
0.01	0.4	0.2	NA	1	Ancestral structure	Simulation	0.0176712	0.0025617	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	1.2	Ancestral structure	D	0.0176085	0.0024907	0.0177422	0.0024894	FALSE	97
0.01	0.4	0.2	NA	1.2	Ancestral structure	fd	0.0176047	0.0024627	0.0177426	0.0024925	FALSE	97.9
0.01	0.4	0.2	NA	1.2	Ancestral structure	fG	0.0174727	0.0023923	0.0177572	0.0024989	FALSE	95.5
0.01	0.4	0.2	NA	1.2	Ancestral structure	fhom	0.0175949	0.0024704	0.0177437	0.0024916	FALSE	97.9
0.01	0.4	0.2	NA	1.2	Ancestral structure	Simulation	0.01774	0.0025114	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	1.4	Ancestral structure	D	0.0176238	0.0025423	0.0177351	0.0024899	FALSE	98.9
0.01	0.4	0.2	NA	1.4	Ancestral structure	fd	0.0176319	0.0025428	0.0177342	0.0024899	FALSE	99.2
0.01	0.4	0.2	NA	1.4	Ancestral structure	fG	0.017541	0.0025075	0.0177443	0.0024933	FALSE	97.2
0.01	0.4	0.2	NA	1.4	Ancestral structure	fhom	0.0176403	0.0025531	0.0177333	0.0024888	FALSE	99.3
0.01	0.4	0.2	NA	1.4	Ancestral structure	Simulation	0.0176919	0.0025658	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	1.6	Ancestral structure	D	0.0177023	0.0024297	0.017731	0.0024891	FALSE	99.5
0.01	0.4	0.2	NA	1.6	Ancestral structure	fd	0.0177117	0.0024354	0.01773	0.0024885	FALSE	99.7
0.01	0.4	0.2	NA	1.6	Ancestral structure	fG	0.0176161	0.0023531	0.0177406	0.002497	FALSE	98.4
0.01	0.4	0.2	NA	1.6	Ancestral structure	fhom	0.0176968	0.0024228	0.0177316	0.0024899	FALSE	99.6
0.01	0.4	0.2	NA	1.6	Ancestral structure	Simulation	0.0177334	0.0024451	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	1.8	Ancestral structure	D	0.0176333	0.0024042	0.0177294	0.0024888	FALSE	99.8
0.01	0.4	0.2	NA	1.8	Ancestral structure	fd	0.0176496	0.0024172	0.0177275	0.0024875	FALSE	100
0.01	0.4	0.2	NA	1.8	Ancestral structure	fG	0.0175939	0.0023785	0.0177337	0.0024914	FALSE	98.9
0.01	0.4	0.2	NA	1.8	Ancestral structure	fhom	0.0176384	0.0024135	0.0177288	0.0024878	FALSE	99.8
0.01	0.4	0.2	NA	1.8	Ancestral structure	Simulation	0.0176496	0.0024172	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	2	Ancestral structure	D	0.0178226	0.0025083	0.0177294	0.0024891	FALSE	99.8
0.01	0.4	0.2	NA	2	Ancestral structure	fd	0.0178282	0.0025005	0.0177287	0.0024899	FALSE	99.9
0.01	0.4	0.2	NA	2	Ancestral structure	fG	0.0177646	0.0024337	0.0177358	0.0024974	FALSE	99
0.01	0.4	0.2	NA	2	Ancestral structure	fhom	0.01782	0.0025006	0.0177297	0.00249	FALSE	99.8
0.01	0.4	0.2	NA	2	Ancestral structure	Simulation	0.0178391	0.0025219	0.0177275	0.0024875	FALSE	NA
0.01	0.4	0.2	NA	NA	Null model	D	0.0166335	0.0023611	0.0178416	0.0024714	TRUE	NA
0.01	0.4	0.2	NA	NA	Null model	fd	0.0165807	0.0023136	0.0178474	0.0024735	TRUE	NA
0.01	0.4	0.2	NA	NA	Null model	fG	0.0164932	0.0022595	0.0178572	0.0024738	TRUE	NA
0.01	0.4	0.2	NA	NA	Null model	fhom	0.0165453	0.0022746	0.0178514	0.0024754	TRUE	NA
0.01	0.4	0.2	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	0.6	0.2	NA	0.8	Ancestral structure	D	0.020543	0.0025354	0.0217343	0.0026893	TRUE	47.2
0.01	0.6	0.2	NA	0.8	Ancestral structure	fd	0.020589	0.0024197	0.0217292	0.0027033	TRUE	65.6
0.01	0.6	0.2	NA	0.8	Ancestral structure	fG	0.020605	0.0024364	0.0217274	0.0027024	TRUE	70.9
0.01	0.6	0.2	NA	0.8	Ancestral structure	fhom	0.0206259	0.0024298	0.0217251	0.002704	TRUE	71.2
0.01	0.6	0.2	NA	0.8	Ancestral structure	Simulation	0.0214363	0.0026669	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	1	Ancestral structure	D	0.0208677	0.0024354	0.0217211	0.0027138	TRUE	73.2
0.01	0.6	0.2	NA	1	Ancestral structure	fd	0.0211216	0.0024619	0.0216929	0.0027185	TRUE	86.7
