scaffold,position,start,end,midpoint,sites,sitesOverMinExD,S,P1P2_dxy,P1P3_dxy,P1O_dxy,P2P3_dxy,P2O_dxy,P3O_dxy,ABBA,BABA,D,f,mf
BD_walk,2500.0,0,5000,2501,4970,4674,460,0.0078,0.0077,0.0271,0.0104,0.0264,0.0268,0.458984375,1.80794270833,-0.595060310167,-0.209243612617,-0.128553448714
BD_walk,3500.0,1000,6000,3500,4971,4084,386,0.0054,0.0065,0.0251,0.0085,0.0254,0.0255,0.458984375,1.38606770833,-0.502470007057,-0.186745934604,-0.115697107572
BD_walk,4500.0,2000,7000,4500,4998,4138,503,0.0053,0.0106,0.0327,0.0089,0.0314,0.0297,0.408761160714,0.768880208333,-0.305796872532,-0.0365099321096,-0.029629931945
BD_walk,5500.0,3000,8000,5500,4986,3895,585,0.0071,0.012,0.038,0.0111,0.0373,0.0364,0.960844494048,1.732421875,-0.286483873196,-0.0655554619016,-0.0500277395856
BD_walk,6500.0,4000,9000,6500,4981,3518,610,0.0082,0.0139,0.0404,0.0131,0.0407,0.0389,0.861235119048,1.79166666667,-0.35072219885,-0.0787559436963,-0.0574005645957
BD_walk,7500.0,5000,10000,7500,4977,3477,673,0.0109,0.0138,0.0456,0.0137,0.0467,0.043,3.50869605655,2.8837890625,0.0977565035209,0.0489552949291,0.0344684889577
BD_walk,8500.0,6000,11000,8500,4969,3928,793,0.0137,0.0172,0.0459,0.0149,0.048,0.0439,4.37833077567,3.92642725384,0.0544150136849,0.0301716438377,0.0206044389034
BD_walk,9500.0,7000,12000,9500,4895,3785,729,0.0131,0.0175,0.0407,0.0172,0.0438,0.0405,5.00450885107,3.94298231337,0.11863957373,0.0887877085805,0.0542776401652
BD_walk,10500.0,8000,13000,10500,4792,3750,748,0.0167,0.0226,0.04,0.0203,0.0448,0.0421,5.21151684958,3.58149142795,0.18537744651,0.110450948479,0.0743731814969
BD_walk,11500.0,9000,14000,11500,4769,4008,812,0.0184,0.0265,0.0405,0.021,0.0445,0.0429,6.39322257875,3.51269802517,0.290788172927,0.14180504564,0.105754556312
BD_walk,12500.0,10000,15000,12500,4773,4209,823,0.0194,0.03,0.0361,0.0227,0.0399,0.0393,5.13177199591,2.83701443142,0.287968260338,0.106691691648,0.0781975262164
BD_walk,13500.0,11000,16000,13500,4783,4376,890,0.0194,0.0331,0.039,0.0254,0.0407,0.0395,4.67706783234,1.86273561508,0.430338960473,0.0932850388003,0.0756399553903
BD_walk,14500.0,12000,17000,14500,4828,4371,888,0.0211,0.0365,0.0384,0.0258,0.0386,0.0428,4.76413561301,2.888770823,0.245052622255,0.0511541106541,0.0434490379481
BD_walk,15500.0,13000,18000,15500,4943,4600,945,0.0181,0.0345,0.0415,0.0263,0.0415,0.0438,4.09792622561,2.40390754175,0.260544754676,0.0438901217078,0.0374793254376
BD_walk,16500.0,14000,19000,16500,4970,4625,964,0.0164,0.0332,0.0438,0.0275,0.0446,0.0465,2.91622049645,2.36593011119,0.104179230417,0.0143640210681,0.0123306216872
BD_walk,17500.0,15000,20000,17500,4969,4642,962,0.0127,0.0301,0.0442,0.027,0.0453,0.0482,1.49244972512,1.83621005911,-0.103272895483,-0.00924083222771,-0.00810280470309
BD_walk,18500.0,16000,21000,18500,4967,4611,887,0.0094,0.0269,0.0402,0.0262,0.0405,0.0431,1.81189416956,2.25879810475,-0.109785733008,-0.0173731427347,-0.0116156000791
BD_walk,19500.0,17000,22000,19500,4986,4700,926,0.0112,0.0236,0.0409,0.024,0.0425,0.0419,2.77476128472,2.43419828869,0.0653802340433,0.0157436281745,0.00886815954905
BD_walk,20500.0,18000,23000,20500,4986,4720,917,0.0111,0.0257,0.0385,0.0254,0.0395,0.0389,2.84702690972,3.32276165675,-0.0771071393936,-0.0230508273951,-0.0127802281257
BD_walk,21500.0,19000,24000,21500,4987,4777,893,0.0119,0.0274,0.0369,0.0261,0.037,0.0383,3.4470703125,3.16781374008,0.0422163971735,0.010536544123,0.00638714069571
BD_walk,22500.0,20000,25000,22500,4988,4776,875,0.0119,0.0266,0.0377,0.0245,0.0378,0.0362,3.68404947917,3.05843874008,0.0927863303196,0.0252629836828,0.0143281713124
BD_walk,23500.0,21000,26000,23500,4972,4700,850,0.0124,0.0262,0.0372,0.0233,0.0384,0.0391,3.02042100694,3.38724578373,-0.0572477921791,-0.0130848788109,-0.00911663097558
BD_walk,24500.0,22000,27000,24500,4979,4716,837,0.0091,0.026,0.0375,0.0245,0.0379,0.0384,1.63498263889,2.57387772817,-0.223075846524,-0.0332913046872,-0.0247848258106
BD_walk,25500.0,23000,28000,25500,4979,4744,835,0.0082,0.0265,0.0365,0.0248,0.0361,0.0374,1.572265625,1.66882130456,-0.0297911415713,-0.00373632095051,-0.00259798867546
BD_walk,26500.0,24000,29000,26500,4974,4484,794,0.0068,0.0253,0.0363,0.023,0.0365,0.0384,1.27690972222,1.70831783234,-0.144514313309,-0.0218772403124,-0.0144697868916
BD_walk,27500.0,25000,30000,27500,4973,4392,794,0.0089,0.027,0.0377,0.0251,0.0379,0.0402,2.10140749008,2.14169456845,-0.00949472292141,-0.00160816589391,-0.00111253056142
BD_walk,28500.0,26000,31000,28500,4966,4340,764,0.0089,0.0252,0.0367,0.0236,0.0377,0.0384,2.49110243056,1.68615141369,0.192698611786,0.0304055533683,0.0209164343155
BD_walk,29500.0,27000,32000,29500,4969,4394,749,0.0097,0.0236,0.0317,0.0246,0.0354,0.0365,4.67546929253,2.8636203342,0.240327287251,0.0584244268747,0.0396019821116
BD_walk,30500.0,28000,33000,30500,4969,4369,700,0.0111,0.0185,0.0296,0.02,0.0305,0.0349,5.16396755642,3.54378526476,0.186062044357,0.0570518671499,0.0390336360617
BD_walk,31500.0,29000,34000,31500,4972,4582,773,0.0117,0.0174,0.0355,0.0194,0.0346,0.0356,5.39313422309,6.85975748698,-0.119696092856,-0.0592884295611,-0.0382682246561
BD_walk,32500.0,30000,35000,32500,4944,4475,789,0.0127,0.0171,0.0348,0.0208,0.0333,0.0334,5.00555775153,10.1286790313,-0.338512034223,-0.254860389356,-0.155270172666
BD_walk,33500.0,31000,36000,33500,4958,4557,791,0.0129,0.0191,0.0342,0.0206,0.0326,0.0328,5.09850169994,11.8412906384,-0.398044368184,-0.433721124779,-0.241968506048
BD_walk,34500.0,32000,37000,34500,4952,4239,753,0.0135,0.0205,0.0379,0.0206,0.0354,0.0336,3.04874545304,10.591478588,-0.552977217401,-1.10647165108,-0.505894342035
BD_walk,35500.0,33000,38000,35500,4946,4222,808,0.0121,0.0209,0.0423,0.0209,0.0423,0.0369,2.8523478836,10.111400463,-0.559950130572,-1.07853645752,-0.483127532108
BD_walk,36500.0,34000,39000,36500,4889,4187,838,0.0113,0.0205,0.0413,0.021,0.0432,0.0381,3.24036871693,7.15046296296,-0.376302337146,-0.692326355763,-0.269225235671
BD_walk,37500.0,35000,40000,37500,4883,4286,838,0.0097,0.0193,0.0411,0.0182,0.0435,0.0406,3.36204117063,3.59347718254,-0.0332737260048,-0.048653700515,-0.0193687286826
BD_walk,38500.0,36000,41000,38500,4876,4304,903,0.0118,0.0189,0.0448,0.0187,0.0476,0.0448,4.04185887897,2.22572544643,0.289766094599,0.349091177792,0.150364507106
BD_walk,39500.0,37000,42000,39500,4857,4313,874,0.0123,0.0154,0.0435,0.0148,0.044,0.0424,5.27821025546,2.16994512649,0.417320124188,0.468430964972,0.221254563394
BD_walk,40500.0,38000,43000,40500,4863,4342,911,0.0151,0.0171,0.0455,0.0159,0.0447,0.0437,6.74332527282,3.76204427083,0.283786399859,0.350207325627,0.176364518681
BD_walk,41500.0,39000,44000,41500,4796,4231,838,0.0162,0.0172,0.0428,0.0165,0.0423,0.0399,6.68733568948,4.13003782242,0.236406542147,0.307106073603,0.14895256022
BD_walk,42500.0,40000,45000,42500,4830,4335,902,0.0193,0.0212,0.0404,0.0205,0.0375,0.0353,7.39781823537,5.02753673735,0.190761672662,0.200870469,0.112207219345
BD_walk,43500.0,41000,46000,43500,4848,4306,923,0.0199,0.0227,0.0409,0.0227,0.0362,0.0356,7.62437350157,5.66406017485,0.147520270218,0.147653634368,0.0912746880422
BD_walk,44500.0,42000,47000,44500,4869,4357,981,0.021,0.0265,0.0428,0.0266,0.0402,0.0397,8.18686265088,6.40913240947,0.121795755209,0.126784044588,0.078636722245
BD_walk,45500.0,43000,48000,45500,4850,4005,906,0.0221,0.0309,0.0401,0.0312,0.0388,0.042,8.83582460111,8.72907030217,0.00607770781036,0.00529980524868,0.00380949543214
BD_walk,46500.0,44000,49000,46500,4976,4189,969,0.023,0.033,0.0368,0.0325,0.0355,0.0435,10.3095814215,8.67297221189,0.0862164933791,0.0676137661897,0.0482038583017
BD_walk,47500.0,45000,50000,47500,4960,4168,938,0.0203,0.0313,0.0369,0.0307,0.0378,0.0455,8.88089141038,7.81950541501,0.0635545374441,0.0423480013669,0.0314251200553
BD_walk,48500.0,46000,51000,48500,4960,4274,964,0.0164,0.0285,0.0385,0.0284,0.0411,0.0468,7.65520962508,6.59340406953,0.0745199202051,0.0403243647367,0.0282081666767
BD_walk,49500.0,47000,52000,49500,4964,4547,980,0.016,0.0272,0.0388,0.0243,0.041,0.0467,7.31173244254,6.26656875207,0.0769730819413,0.0376188225338,0.0251856568876
BD_walk,50500.0,48000,53000,50500,4983,4878,1012,0.0166,0.0246,0.0378,0.0221,0.0391,0.0412,6.01232561384,2.72302129836,0.376551080173,0.144365568597,0.0861854530866
BD_walk,51500.0,49000,54000,51500,4983,4912,999,0.0149,0.0239,0.0387,0.0208,0.0411,0.0417,6.05826280382,2.59141012525,0.400807372371,0.16034759846,0.100927361538
BD_walk,52500.0,50000,55000,52500,4989,4601,951,0.0171,0.0235,0.0405,0.02,0.0431,0.042,8.22432880704,3.45455574157,0.408409985185,0.228756978514,0.143388597547
BD_walk,53500.0,51000,56000,53500,4988,4531,896,0.0184,0.0229,0.0382,0.019,0.0404,0.0391,8.64693622892,3.690531219,0.401736015179,0.279663488173,0.177497549433
BD_walk,54500.0,52000,57000,54500,4983,4289,867,0.0169,0.0213,0.0355,0.0205,0.0389,0.0383,7.39409334697,3.77129448785,0.32446690726,0.230650727686,0.161969351718
BD_walk,55500.0,53000,58000,55500,4978,4256,874,0.013,0.0185,0.0357,0.0173,0.0403,0.0395,7.30511765253,3.50827365451,0.351124257895,0.271604910892,0.195015186921
BD_walk,56500.0,54000,59000,56500,4972,4196,865,0.0135,0.0183,0.0355,0.0161,0.0387,0.0373,6.22563631572,3.32006835938,0.304384857404,0.216457185142,0.137084961902
BD_walk,57500.0,55000,60000,57500,4983,4513,910,0.0118,0.0184,0.0383,0.0146,0.0397,0.0388,5.16155133929,2.79829489087,0.296897249027,0.214747562619,0.114399907435
BD_walk,58500.0,56000,61000,58500,4984,4560,926,0.0113,0.0198,0.04,0.0159,0.0404,0.0401,5.24957759797,3.20630812872,0.24163872778,0.155484053305,0.0846223900606
BD_walk,59500.0,57000,62000,59500,4989,4802,1015,0.0102,0.0203,0.0424,0.016,0.0409,0.0409,4.85363575769,2.61939406622,0.298974009754,0.117493621996,0.0723502332882
BD_walk,60500.0,58000,63000,60500,4983,4723,952,0.0099,0.0203,0.0416,0.0157,0.0396,0.0392,3.74512881324,2.64152948289,0.172797616404,0.0658174043143,0.0401861133633
BD_walk,61500.0,59000,64000,61500,4988,4775,927,0.0088,0.0179,0.0426,0.0135,0.0399,0.0396,5.62772429936,2.61548781622,0.365420231932,0.178681406118,0.1123530293
